PMID,Year,Title,Abstract,FirstAuthor
"41796949","2026","To the editor- The era of lumenless defibrillation leads in conduction system pacing: Looking beyond implantation success to lead extraction.","N/A","Migliore Federico"
"41759872","2026","Effect of lead body and helix design variables on implantation success, insertion depth, and muscle torque in the left bundle branch area: Insights from an ex vivo porcine model.","Lumenless and stylet-driven leads used for left bundle branch area pacing differ in design and have a significant implantation learning curve. Although previous studies examined longer helices for deep-septal pacing, the influence of other design variables remains unclear.

This study aimed to evaluate how helix design and axial force affect interventricular septum insertion efficacy.

Rigid leads were developed using helical coils with variable outer diameter, number of turns, and pitch. Porcine septa (n = 16) were clamped perpendicularly for insertion using an optimized rotation-response system. Leads were tested under low (30g) and high (60g) axial force conditions to represent lumenless and stylet-driven leads, respectively, and a fixed number of rotations were delivered at a constant rate. Each helix design (n = 8) was tested 3&#xd7; per axial force at 3 septal sites. Insertion depth, muscle torque, and visual feedback were recorded. Insertion was successful if the depth exceeded coil length without surface entanglement. Effects of design factors were compared.

At 30g, more helix turns significantly improved insertion success (P = .04), whereas fewer turns frequently produced entangled failure (P = .04) marked by high torque variability (P < .001). Smaller-pitch helices trended toward higher torque and success, whereas a larger pitch achieved greater depth (P = .05). Larger outer diameters also trended toward higher torque and improved success at 30g. At 60g, the influence of helix design variable diminished and consistently yielded higher values than at 30g.

An optimized lead rotation-to-translation system elucidates how helix geometry and axial force interact during septal insertion. These interactions are explainable using an intuitive mechanical framework, which helps optimize lead design.","Shah Ankur R"
"41881370","2026","Electrophysiological predictors of super-response to left bundle branch area pacing in nonischemic cardiomyopathy: The PRECISION LBBAP study.","Left bundle branch area pacing (LBBAP) is an emerging alternative to biventricular pacing for cardiac resynchronization therapy (CRT), but variability in response remains poorly understood.

This study aimed to assess differences in cardiac activation between super-responders and partial responders to LBBAP and identify electrophysiological predictors of response using noninvasive electrocardiographic imaging.

Patients with nonischemic cardiomyopathy and left bundle branch (LBB) block (QRS >130 ms) who underwent LBBAP were enrolled. 10 super-responders (&#x2265;20% improvement in left ventricular [LV] ejection fraction) and 10 partial responders (<10% improvement) were matched 1:1. electrocardiographic imaging (CardioInsight, Medtronic) was performed during intrinsic rhythm (CRT-off) and during unipolar pacing (CRT-on) at 2 V and 0.4 ms. Changes in biventricular total activation time, LV activation time (LVtat), and ventricular electrical uncoupling were assessed.

Compared with partial responders, super-responders exhibited significantly greater reductions in LVtat (mean difference 15.2 ms; 95% confidence interval 3.4-27.1; P = .015) and biventricular total activation time (29.0 [interquartile range {IQR} 22.0-39.8] vs 16.5 [IQR 3.0-27.0] ms; P = .045), alongside superior ventricular electrical uncoupling improvement (55.7% [IQR 39.0-67.0] vs 5.8% [IQR -18.0 to 35.5]; P = .014). Confirmed LBB capture was associated with substantially greater reduction in LVtat than LV septal capture (33.2 &#xb1; 10.4 ms vs 13.1 &#xb1; 9.9 ms; P < .001); consequently, an LVtat reduction of &#x2265;26.86% predicted LBB capture with high accuracy (area under the curve 0.96; 83% sensitivity; 100% specificity). Confirmed LBB capture conferred 7.4-fold higher odds of super-response in Bayesian regression.

Super-response to CRT via LBBAP was associated with greater reductions in ventricular dyssynchrony. The presence of definitive LBB capture emerged as a strong predictor of super-response, emphasizing the mechanistic relevance of conduction system engagement for optimizing CRT outcomes.","Shroff Jenish P"
"41881371","2026","Implantation of standard defibrillator leads in the left bundle branch area: Experience from an international cohort.","Left bundle branch area defibrillation (LBBAD) therapy is currently an off-label procedure. Nevertheless, it is a promising technique that reduces the number of leads in implantable cardioverter-defibrillator patients who require conduction system pacing.

This study aimed to collect real-world data on LBBAD implantation and follow-up.

Retrospective periprocedural and follow-up data on electrocardiographic and electrical parameters, transthoracic echocardiography data, and clinical outcome were assembled from 12 international centers.

In total, 163 patients (age 67 &#xb1; 12 years; 137 males) were included. Implantation success rate was 88%. Defibrillation testing was performed in 85 patients and was effective in all cases. Paced unipolar QRS duration was 125 ms (119-135) with a V6 R-wave peak time of 76 ms (70-85) and a V6-V1 interpeak interval of 44 ms (45-54). Capture threshold was 0.8 V/0.4 ms (0.5-1.1), sensing amplitude was 9.0 mV (6.2-12), and pacing and high-voltage impedances were 580 &#x3a9; (493-650) and 66 &#x3a9; (60-75). Electrical parameters remained favorable over a follow-up of 8 months (3-13). Left ventricular ejection fraction improved from 30% (26%-35%) to 36% (31%-46%) at the last follow-up (P < .001). A total of 13 appropriate and effective shocks were documented, affecting 8 patients (4.9%). No ineffective shocks were reported. 2 LBBAD leads were explanted more than 1 year after implantation without any complication. No deaths were related to LBBAD.

LBBAD with standard stylet-driven lead is safe and feasible, with stable electrical, electrocardiographic, and echocardiographic parameters at midterm follow-up.","Imnadze Guram"
"41513058","2026","Effectiveness of cardiac resynchronization therapy in adult congenital heart disease: A meta-analysis of biventricular and conduction system pacing outcomes.","Patients with adult congenital heart disease (ACHD) often develop heart failure (HF). Cardiac resynchronization therapy (CRT) may provide benefit, but evidence is limited to observational studies and guidelines are extrapolated from acquired HF.

This study aimed to systematically evaluate the effects of CRT in ACHD, including both biventricular pacing (BiV) and conduction system pacing (CSP) strategies, on electrocardiographic, functional, and clinical outcomes.

We conducted a systematic review and meta-analysis following Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines (PROSPERO CRD420251036152). PubMed, Embase, Web of Science, CINAHL, and Cochrane were searched until February 2025. Primary outcomes were changes in QRS duration, systemic ventricular function (SVF), and New York Heart Association (NYHA) class; secondary outcomes were HF hospitalizations and all-cause mortality.

25 studies (n = 796; 723 BiV, 73 CSP) were included. CRT was associated with significant QRS duration reduction (-23.1 ms; 95% confidence interval -31.6 to -14.7), SVF improvement (+7.8%; 5.9-9.6), and NYHA class reduction (-0.9; -1.2 to -0.5). Benefits extended to patients with a systemic right ventricle (QRS -27.7 ms; SVF +8.5%; NYHA -1.0). Pooled incidence rates of HF hospitalization and mortality were 4.3 and 3.2 per 100 patient-years, respectively. Early data suggest that CSP achieves comparable QRS narrowing with BiV, although long-term outcomes remain scarce.

CRT in ACHD is associated with significant improvements in electrocardiographic, functional, and clinical outcomes, including patients with a systemic right ventricle. Although most evidence pertains to BiV, early reports on CSP are encouraging. Prospective, phenotype-specific studies with standardized outcomes are needed to optimize patient selection and pacing strategies.","Zwaenepoel Bert A C"
"41933630","2026","Lead I R-wave peak time as a criterion for conduction system capture during left bundle branch area pacing.","N/A","Cubillas-Para Jos&#xe9; Manuel"
"42107682","2026","Polymorphic ventricular tachycardia deteriorating into ventricular fibrillation during radiofrequency-facilitated left bundle branch pacing lead implantation in complete atrioventricular block.","N/A","Luo Binbin"
"42103288","2026","Digital health tools for patient-centered lifestyle and risk factor modification in atrial fibrillation management.","Structured lifestyle risk factor modification (LRFM) is an evidence-based core pillar for atrial fibrillation management. Despite consistent endorsement by international guidelines, real-world implementation of LRFM remains limited because of fragmented care delivery, logistical challenges, and lack of reimbursement models. Digital health technologies including mobile applications, wearable and non-wearable sensors, remote monitoring, and virtual coaching offer an innovative pathway to scale and personalize LRFM delivery. This scientific statement synthesizes current evidence supporting digital LRFM interventions and outlines essential components of LRFM programs. It also highlights opportunities for patients, clinicians, and health systems by illustrating how digital health tools can facilitate and expand the implementation of LRFM. The document further addresses health system, policy, and regulatory considerations, emphasizing the need for data transparency, inter-operability, and sustainable reimbursement frameworks to enable broad adoption. Finally, it identifies key research and policy priorities to ensure equitable, effective, and scalable integration of digital health-enabled LRFM in routine AF care.","Isakadze Nino"
"41997385","2026","Stylet-driven vs non-stylet-driven leads for conduction system pacing: Insights from the NCDR Electrophysiology Device Implant Registry.","Conduction system pacing (CSP), including His bundle pacing and left bundle branch area pacing, is a growing alternative to traditional right ventricular or biventricular pacing. The choice between stylet-driven leads (SDLs) and non-stylet-driven leads (NSDLs) remains operator-dependent, with limited comparative data.

The purpose of this study was to compare characteristics and outcomes of SDLs and NSDLs for CSP using data from the National Cardiovascular Data Registry.

We analyzed 11,412 CSP lead implants from April 2021 to December 2023 in the National Cardiovascular Data Registry Electrophysiology Device Implant Registry. A descriptive analysis of baseline and procedural characteristics, as well as crude in-hospital outcomes, was performed between the study groups. In addition, in-hospital outcomes were assessed using multivariable logistic regression, accounting for the patient- and hospital-level covariates.

NSDLs (87.7%, n = 10,005) were the predominant lead type, though SDL (12.3%, n = 1407) use increased significantly over time. Compared with NSDL recipients, patients receiving SDLs had higher rates of heart failure (61.6% vs 48.6%; P < .001) and lower left ventricular ejection fraction (42.3% vs 47.4%; P < .001). Implant success was slightly higher with SDLs (98.4% vs 96.2%; P < .001). Overall complication rates were low and similar (2.8% vs 2.1%; P = .089), with no statistical differences in perforation, lead dislodgment, or mortality. Lead type was not associated with increased odds of complications or prolonged hospitalization.

In this large national cohort, both SDLs and NSDLs achieved high implant success with low complication rates. These findings support the safety and effectiveness of either lead type and suggest selection may be guided by operator preference.","Katapadi Aashish"
"42033435","2026","Safety and performance of a novel ICD lead for left bundle branch area pacing: Results from the ASCEND CSP trial.","Use of implantable cardioverter defibrillator (ICD) leads for left bundle branch area pacing (LBBAP) has relied on adaptation of conventional leads not designed for conduction system pacing (CSP).

This study aimed to evaluate the safety and effectiveness of a purpose-built CSP ICD lead designed for implantation within the LBBA.

The ASCEND CSP Investigational Device Exemption (IDE) trial is a prospective, multicenter, global, single arm, pivotal trial evaluating the UltiSynq CSP ICD lead (Model LDA1122Q) in patients undergoing de novo ICD or cardiac resynchronization therapy defibrillator (CRT-D) implantation. The primary safety end point was freedom from lead-related serious adverse device effects through 3 months, compared with a pre-specified performance goal of 88%. The primary effectiveness end point was the 3-month composite success rate of acceptable pacing capture threshold and R-wave sensing amplitude, with a performance goal of 80%. Defibrillation testing success was assessed in a pre-specified cohort.

Among 205 implant attempts, 202 patients (98.5%), had successful lead implantation, with LBBAP criteria met in 99.0%. Among these, LBBP or likely LBBP capture criteria were met in 86.0%. The 3-month major complication-free rate was 97.5% and the primary effectiveness end point was achieved in 94.6%, exceeding both safety and effectiveness performance goals. Defibrillation testing was successful in 100%, with 92.5% defibrillated with a single 20 J shock. Lead electrical performance remained stable through 3 months.

In this pivotal IDE trial, a dedicated bipolar CSP ICD lead demonstrated high implant success, stable electrical performance, reliable defibrillation efficacy, and favorable short-term safety. Longer-term follow-up is warranted to confirm durability and sustained clinical benefit.","Schaller Robert D"
